% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
0.516	1	1	52	7	1	28	2196	0	0
0.535	1	1	54	6	1	28	2196	0	0
0.554	1	1	56	5	1	26	1836	0	0
0.574	1	1	58	5	1	24	1620	0	0
0.593	1	1	60	4	1	26	1836	0	0
0.594	1	1	60	5	1	26	1836	0	0
0.613	1	1	62	4	1	14	775	0	0
0.614	1	1	62	5	1	14	775	0	0
0.616	1	1	62	7	1	8	421	0	0
0.633	1	1	64	4	1	8	421	0	0
0.634	1	1	64	5	1	8	421	0	0
0.636	1	1	64	7	1	6	309	0	0
0.637	1	1	64	8	1	8	421	0	0
0.653	1	1	66	4	1	28	2196	0	0
0.655	1	1	66	6	1	28	2196	0	0
0.657	1	1	66	8	1	28	2196	0	0
0.66	1	1	67	1	1	28	2196	0	0
0.662	1	1	67	3	1	28	2196	0	0
0.665	1	1	67	6	1	28	2196	0	0
0.668	1	1	67	9	1	28	2196	0	0
0.67	1	1	68	1	1	28	2196	0	0
0.673	1	1	68	4	1	28	2196	0	0
0.676	1	1	68	7	1	28	2196	0	0
0.678	1	1	68	9	1	28	2196	0	0
0.681	1	1	69	2	1	28	2196	0	0
0.683	1	1	69	4	1	28	2196	0	0
0.685	1	1	69	6	1	28	2196	0	0
0.687	1	1	69	8	1	28	2196	0	0
0.689	1	1	69	10	1	28	2196	0	0
0.69	1	1	70	1	1	28	2196	0	0
0.692	1	1	70	3	1	28	2196	0	0
0.694	1	1	70	5	1	28	2196	0	0
0.696	1	1	70	7	1	28	2196	0	0
0.697	1	1	70	8	1	28	2196	0	0
0.699	1	1	70	10	1	28	2196	0	0
0.7	1	1	71	1	1	28	2196	0	0
0.702	1	1	71	3	1	28	2196	0	0
0.703	1	1	71	4	1	28	2196	0	0
0.705	1	1	71	6	1	28	2196	0	0
0.706	1	1	71	7	1	28	2196	0	0
0.707	1	1	71	8	1	28	2196	0	0
0.709	1	1	71	10	1	28	2196	0	0
