% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
0.601	1	1	61	2	1	4	903
0.62	1	1	63	1	1	4	903
0.639	1	1	64	10	1	2	573
0.64	1	1	65	1	1	2	573
0.721	1	1	73	2	1	2	573
0.728	1	1	73	9	1	0	349
0.74	1	1	75	1	1	0	349
0.741	1	1	75	2	1	0	349
0.742	1	1	75	3	1	0	349
0.743	1	1	75	4	1	0	349
0.744	1	1	75	5	1	0	349
0.745	1	1	75	6	1	0	349
0.881	1	1	89	2	1	2	573
0.882	1	1	89	3	1	2	573
0.883	1	1	89	4	1	2	573
0.884	1	1	89	5	1	2	573
0.961	1	1	97	2	1	0	349
0.962	1	1	97	3	1	0	349
0.963	1	1	97	4	1	0	349
0.964	1	1	97	5	1	0	349
0.965	1	1	97	6	1	0	349
0.966	1	1	97	7	1	0	349
0.967	1	1	97	8	1	0	349
0.968	1	1	97	9	1	0	349
0.969	1	1	97	10	1	0	349
0.97	1	1	98	1	1	0	349
0.971	1	1	98	2	1	0	349
0.972	1	1	98	3	1	0	349
1.161	1	1	117	2	1	0	349
1.162	1	1	117	3	1	0	349
1.163	1	1	117	4	1	0	349
1.164	1	1	117	5	1	0	349
1.165	1	1	117	6	1	0	349
1.166	1	1	117	7	1	0	349
1.167	1	1	117	8	1	0	349
1.168	1	1	117	9	1	0	349
1.169	1	1	117	10	1	0	349
1.17	1	1	118	1	1	0	349
1.171	1	1	118	2	1	0	349
1.172	1	1	118	3	1	0	349
1.173	1	1	118	4	1	0	349
1.174	1	1	118	5	1	0	349
1.175	1	1	118	6	1	0	349
1.176	1	1	118	7	1	0	349
1.201	1	1	121	2	1	0	349
1.202	1	1	121	3	1	0	349
1.203	1	1	121	4	1	0	349
1.204	1	1	121	5	1	0	349
1.205	1	1	121	6	1	0	349
1.206	1	1	121	7	1	0	349
1.207	1	1	121	8	1	0	349
1.241	1	1	125	2	1	2	573
1.242	1	1	125	3	1	2	573
1.243	1	1	125	4	1	2	573
1.244	1	1	125	5	1	2	573
1.245	1	1	125	6	1	2	573
1.246	1	1	125	7	1	2	573
1.247	1	1	125	8	1	2	573
1.248	1	1	125	9	1	0	349
1.249	1	1	125	10	1	0	349
1.25	1	1	126	1	1	0	349
1.361	1	1	137	2	1	2	573
1.362	1	1	137	3	1	2	573
1.363	1	1	137	4	1	2	573
1.364	1	1	137	5	1	2	573
1.365	1	1	137	6	1	2	573
1.366	1	1	137	7	1	2	573
1.367	1	1	137	8	1	2	573
1.368	1	1	137	9	1	2	573
1.369	1	1	137	10	1	2	573
1.37	1	1	138	1	1	2	573
1.371	1	1	138	2	1	4	903
1.372	1	1	138	3	1	4	903
1.373	1	1	138	4	1	4	903
1.374	1	1	138	5	1	4	903
1.375	1	1	138	6	1	4	903
1.376	1	1	138	7	1	2	573
1.377	1	1	138	8	1	2	573
1.378	1	1	138	9	1	2	573
1.379	1	1	138	10	1	2	573
1.381	1	1	139	2	1	2	573
1.382	1	1	139	3	1	2	573
1.383	1	1	139	4	1	2	573
1.384	1	1	139	5	1	2	573
1.385	1	1	139	6	1	2	573
1.386	1	1	139	7	1	2	573
1.387	1	1	139	8	1	2	573
1.388	1	1	139	9	1	2	573
1.389	1	1	139	10	1	2	573
1.39	1	1	140	1	1	2	573
1.391	1	1	140	2	1	2	573
1.392	1	1	140	3	1	0	349
1.393	1	1	140	4	1	0	349
1.394	1	1	140	5	1	0	349
1.395	1	1	140	6	1	0	349
1.396	1	1	140	7	1	0	349
1.397	1	1	140	8	1	0	349
1.561	1	1	157	2	1	6	1287
1.562	1	1	157	3	1	6	1287
1.563	1	1	157	4	1	6	1287
1.564	1	1	157	5	1	6	1287
1.565	1	1	157	6	1	6	1287
1.566	1	1	157	7	1	6	1287
1.567	1	1	157	8	1	6	1287
1.568	1	1	157	9	1	8	1764
1.569	1	1	157	10	1	8	1764
1.57	1	1	158	1	1	8	1764
1.571	1	1	158	2	1	8	1764
1.572	1	1	158	3	1	8	1764
1.573	1	1	158	4	1	8	1764
1.574	1	1	158	5	1	8	1764
1.575	1	1	158	6	1	8	1764
1.58	1	1	159	1	1	10	1980
1.581	1	1	159	2	1	10	1980
1.582	1	1	159	3	1	10	1980
1.583	1	1	159	4	1	10	1980
1.584	1	1	159	5	1	10	1980
1.585	1	1	159	6	1	10	1980
1.586	1	1	159	7	1	10	1980
1.587	1	1	159	8	1	10	1980
1.588	1	1	159	9	1	10	1980
1.589	1	1	159	10	1	10	1980
1.59	1	1	160	1	1	10	1980
1.591	1	1	160	2	1	10	1980
1.592	1	1	160	3	1	10	1980
1.593	1	1	160	4	1	10	1980
1.594	1	1	160	5	1	10	1980
1.595	1	1	160	6	1	10	1980
1.596	1	1	160	7	1	10	1980
1.597	1	1	160	8	1	10	1980
1.598	1	1	160	9	1	10	1980
1.599	1	1	160	10	1	10	1980
1.6	1	1	161	1	1	10	1980
1.601	1	1	161	2	1	10	1980
1.602	1	1	161	3	1	8	1764
1.603	1	1	161	4	1	8	1764
1.604	1	1	161	5	1	8	1764
1.605	1	1	161	6	1	8	1764
1.606	1	1	161	7	1	8	1764
1.607	1	1	161	8	1	8	1764
1.608	1	1	161	9	1	8	1764
1.609	1	1	161	10	1	8	1764
1.61	1	1	162	1	1	6	1287
1.611	1	1	162	2	1	6	1287
1.612	1	1	162	3	1	6	1287
1.613	1	1	162	4	1	6	1287
1.614	1	1	162	5	1	6	1287
1.615	1	1	162	6	1	6	1287
1.616	1	1	162	7	1	6	1287
1.617	1	1	162	8	1	4	903
1.618	1	1	162	9	1	4	903
1.619	1	1	162	10	1	4	903
1.62	1	1	163	1	1	4	903
1.621	1	1	163	2	1	2	573
1.622	1	1	163	3	1	2	573
1.623	1	1	163	4	1	2	573
1.624	1	1	163	5	1	2	573
1.625	1	1	163	6	1	0	349
1.626	1	1	163	7	1	0	349
1.681	1	1	169	2	1	2	573
1.682	1	1	169	3	1	2	573
1.683	1	1	169	4	1	2	573
1.684	1	1	169	5	1	2	573
1.685	1	1	169	6	1	2	573
1.686	1	1	169	7	1	2	573
1.687	1	1	169	8	1	2	573
1.688	1	1	169	9	1	2	573
1.689	1	1	169	10	1	2	573
1.69	1	1	170	1	1	2	573
1.691	1	1	170	2	1	2	573
1.692	1	1	170	3	1	2	573
1.693	1	1	170	4	1	2	573
1.694	1	1	170	5	1	2	573
1.695	1	1	170	6	1	2	573
1.696	1	1	170	7	1	2	573
1.697	1	1	170	8	1	2	573
1.698	1	1	170	9	1	2	573
1.699	1	1	170	10	1	2	573
1.7	1	1	171	1	1	2	573
1.701	1	1	171	2	1	4	903
1.702	1	1	171	3	1	4	903
1.703	1	1	171	4	1	4	903
1.704	1	1	171	5	1	4	903
1.705	1	1	171	6	1	4	903
1.706	1	1	171	7	1	4	903
1.707	1	1	171	8	1	4	903
1.708	1	1	171	9	1	4	903
1.709	1	1	171	10	1	4	903
1.71	1	1	172	1	1	4	903
1.711	1	1	172	2	1	4	903
