% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct
511	1	1	1	0	0	4	903	0	1	1
687	1	1	1	0	0	0	349	0	1	1
688	1	1	1	0	0	0	349	0	1	1
689	1	1	1	0	0	0	349	0	1	1
690	1	1	1	0	0	0	349	0	1	1
691	1	1	1	0	0	0	349	0	1	1
692	1	1	1	0	0	0	349	0	1	1
693	1	1	1	0	0	0	349	0	1	1
607	1	1	1	0	0	2	573	0	1	1
608	1	1	1	0	0	2	573	0	1	1
627	1	1	1	0	0	2	573	0	1	1
628	1	1	1	0	0	2	573	0	1	1
629	1	1	1	0	0	2	573	0	1	1
807	1	1	1	0	0	2	573	0	1	1
687	1	1	1	0	0	0	349	0	1	1
688	1	1	1	0	0	0	349	0	1	1
808	1	1	1	0	0	2	573	0	1	1
689	1	1	1	0	0	0	349	0	1	1
809	1	1	1	0	0	2	573	0	1	1
690	1	1	1	0	0	0	349	0	1	1
691	1	1	1	0	0	0	349	0	1	1
810	1	1	1	0	0	2	573	0	1	1
811	1	1	1	0	0	2	573	0	1	1
692	1	1	1	0	0	0	349	0	1	1
812	1	1	1	0	0	2	573	0	1	1
813	1	1	1	0	0	2	573	0	1	1
814	1	1	1	0	0	2	573	0	1	1
815	1	1	1	0	0	2	573	0	1	1
816	1	1	1	0	0	0	349	0	1	1
817	1	1	1	0	0	0	349	0	1	1
818	1	1	1	0	0	0	349	0	1	1
819	1	1	1	0	0	0	349	0	1	1
820	1	1	1	0	0	0	349	0	1	1
821	1	1	1	0	0	0	349	0	1	1
822	1	1	1	0	0	0	349	0	1	1
823	1	1	1	0	0	0	349	0	1	1
824	1	1	1	0	0	0	349	0	1	1
825	1	1	1	0	0	0	349	0	1	1
826	1	1	1	0	0	0	349	0	1	1
827	1	1	1	0	0	0	349	0	1	1
828	1	1	1	0	0	0	349	0	1	1
829	1	1	1	0	0	0	349	0	1	1
830	1	1	1	0	0	0	349	0	1	1
831	1	1	1	0	0	0	349	0	1	1
887	1	1	1	0	0	4	903	0	1	1
888	1	1	1	0	0	4	903	0	1	1
889	1	1	1	0	0	4	903	0	1	1
890	1	1	1	0	0	4	903	0	1	1
891	1	1	1	0	0	4	903	0	1	1
892	1	1	1	0	0	4	903	0	1	1
893	1	1	1	0	0	4	903	0	1	1
894	1	1	1	0	0	2	573	0	1	1
895	1	1	1	0	0	2	573	0	1	1
896	1	1	1	0	0	2	573	0	1	1
897	1	1	1	0	0	2	573	0	1	1
898	1	1	1	0	0	2	573	0	1	1
899	1	1	1	0	0	2	573	0	1	1
900	1	1	1	0	0	2	573	0	1	1
901	1	1	1	0	0	2	573	0	1	1
902	1	1	1	0	0	2	573	0	1	1
903	1	1	1	0	0	2	573	0	1	1
904	1	1	1	0	0	2	573	0	1	1
905	1	1	1	0	0	2	573	0	1	1
906	1	1	1	0	0	2	573	0	1	1
907	1	1	1	0	0	0	349	0	1	1
908	1	1	1	0	0	0	349	0	1	1
909	1	1	1	0	0	0	349	0	1	1
910	1	1	1	0	0	0	349	0	1	1
911	1	1	1	0	0	0	349	0	1	1
912	1	1	1	0	0	0	349	0	1	1
913	1	1	1	0	0	0	349	0	1	1
914	1	1	1	0	0	0	349	0	1	1
807	1	1	1	0	0	2	573	0	1	1
915	1	1	1	0	0	0	349	0	1	1
808	1	1	1	0	0	2	573	0	1	1
809	1	1	1	0	0	2	573	0	1	1
810	1	1	1	0	0	2	573	0	1	1
827	1	1	1	0	0	0	349	0	1	1
828	1	1	1	0	0	0	349	0	1	1
829	1	1	1	0	0	0	349	0	1	1
830	1	1	1	0	0	0	349	0	1	1
831	1	1	1	0	0	0	349	0	1	1
832	1	1	1	0	0	0	349	0	1	1
833	1	1	1	0	0	0	349	0	1	1
887	1	1	1	0	0	4	903	0	1	1
888	1	1	1	0	0	4	903	0	1	1
889	1	1	1	0	0	4	903	0	1	1
890	1	1	1	0	0	4	903	0	1	1
