% time	cellId	IMSI	RNTI	sinrLinear
0.041	1	1	1	40.0176
0.081	1	1	1	40.0176
0.121	1	1	1	40.0176
0.161	1	1	1	40.0176
0.201	1	1	1	40.0176
0.241	1	1	1	40.0176
0.281	1	1	1	40.0176
0.321	1	1	1	40.0176
0.361	1	1	1	40.0176
0.401	1	1	1	40.0176
0.441	1	1	1	40.0176
0.481	1	1	1	40.0176
0.521	1	1	1	40.0176
0.561	1	1	1	40.0176
0.601	1	1	1	40.0176
0.641	1	1	1	40.0176
0.681	1	1	1	40.0176
0.721	1	1	1	40.0176
0.761	1	1	1	40.0176
0.801	1	1	1	40.0176
0.841	1	1	1	40.0176
0.881	1	1	1	40.0176
0.921	1	1	1	40.0176
0.961	1	1	1	40.0176
1.001	1	1	1	40.0176
1.041	1	1	1	40.0176
1.081	1	1	1	40.0176
1.121	1	1	1	40.0176
1.161	1	1	1	40.0176
1.201	1	1	1	40.0176
1.241	1	1	1	40.0176
1.281	1	1	1	40.0176
1.321	1	1	1	40.0176
1.361	1	1	1	40.0176
1.401	1	1	1	40.0176
1.441	1	1	1	40.0176
1.481	1	1	1	40.0176
1.521	1	1	1	40.0176
1.561	1	1	1	40.0176
1.601	1	1	1	40.0176
1.641	1	1	1	40.0176
1.681	1	1	1	40.0176
1.721	1	1	1	40.0176
1.761	1	1	1	40.0176
1.801	1	1	1	40.0176
1.841	1	1	1	40.0176
1.881	1	1	1	40.0176
1.921	1	1	1	40.0176
1.961	1	1	1	40.0176
2.001	1	1	1	40.0176
2.041	1	1	1	40.0176
2.081	1	1	1	40.0176
2.121	1	1	1	40.0176
2.161	1	1	1	40.0176
2.201	1	1	1	40.0176
2.241	1	1	1	40.0176
2.281	1	1	1	40.0176
2.321	1	1	1	40.0176
2.361	1	1	1	40.0176
2.401	1	1	1	40.0176
2.441	1	1	1	40.0176
2.481	1	1	1	40.0176
2.521	1	1	1	40.0176
2.561	1	1	1	40.0176
2.601	1	1	1	40.0176
2.641	1	1	1	40.0176
2.681	1	1	1	40.0176
2.721	1	1	1	40.0176
2.761	1	1	1	40.0176
2.801	1	1	1	40.0176
2.841	1	1	1	40.0176
2.881	1	1	1	40.0176
2.921	1	1	1	40.0176
2.961	1	1	1	40.0176
3.001	1	1	1	40.0176
3.041	1	1	1	40.0176
3.081	1	1	1	40.0176
3.121	1	1	1	40.0176
3.161	1	1	1	40.0176
3.201	1	1	1	40.0176
3.241	1	1	1	40.0176
3.281	1	1	1	40.0176
3.321	1	1	1	40.0176
3.361	1	1	1	40.0176
3.401	1	1	1	40.0176
3.441	1	1	1	40.0176
3.481	1	1	1	40.0176
3.521	1	1	1	40.0176
3.561	1	1	1	40.0176
3.601	1	1	1	40.0176
3.641	1	1	1	40.0176
3.681	1	1	1	40.0176
3.721	1	1	1	40.0176
3.761	1	1	1	40.0176
3.801	1	1	1	40.0176
3.841	1	1	1	40.0176
3.881	1	1	1	40.0176
3.921	1	1	1	40.0176
3.961	1	1	1	40.0176
4.001	1	1	1	40.0176
4.041	1	1	1	40.0176
4.081	1	1	1	40.0176
4.121	1	1	1	40.0176
4.161	1	1	1	40.0176
4.201	1	1	1	40.0176
4.241	1	1	1	40.0176
4.281	1	1	1	40.0176
4.321	1	1	1	40.0176
4.361	1	1	1	40.0176
4.401	1	1	1	40.0176
4.441	1	1	1	40.0176
4.481	1	1	1	40.0176
4.521	1	1	1	40.0176
4.561	1	1	1	40.0176
4.601	1	1	1	40.0176
4.641	1	1	1	40.0176
4.681	1	1	1	40.0176
4.721	1	1	1	40.0176
4.761	1	1	1	40.0176
4.801	1	1	1	40.0176
4.841	1	1	1	40.0176
4.881	1	1	1	40.0176
4.921	1	1	1	40.0176
4.961	1	1	1	40.0176
