% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi
607	1	1	1	0	4	903	0	1
626	1	1	1	0	4	903	0	1
645	1	1	1	0	2	573	0	1
646	1	1	1	0	2	573	0	1
727	1	1	1	0	2	573	0	1
734	1	1	1	0	0	349	0	1
746	1	1	1	0	0	349	0	1
747	1	1	1	0	0	349	0	1
748	1	1	1	0	0	349	0	1
749	1	1	1	0	0	349	0	1
750	1	1	1	0	0	349	0	1
751	1	1	1	0	0	349	0	1
887	1	1	1	0	2	573	0	1
888	1	1	1	0	2	573	0	1
889	1	1	1	0	2	573	0	1
890	1	1	1	0	2	573	0	1
967	1	1	1	0	0	349	0	1
968	1	1	1	0	0	349	0	1
969	1	1	1	0	0	349	0	1
970	1	1	1	0	0	349	0	1
971	1	1	1	0	0	349	0	1
972	1	1	1	0	0	349	0	1
973	1	1	1	0	0	349	0	1
974	1	1	1	0	0	349	0	1
975	1	1	1	0	0	349	0	1
976	1	1	1	0	0	349	0	1
977	1	1	1	0	0	349	0	1
978	1	1	1	0	0	349	0	1
1167	1	1	1	0	0	349	0	1
1168	1	1	1	0	0	349	0	1
1169	1	1	1	0	0	349	0	1
1170	1	1	1	0	0	349	0	1
1171	1	1	1	0	0	349	0	1
1172	1	1	1	0	0	349	0	1
1173	1	1	1	0	0	349	0	1
1174	1	1	1	0	0	349	0	1
1175	1	1	1	0	0	349	0	1
1176	1	1	1	0	0	349	0	1
1177	1	1	1	0	0	349	0	1
1178	1	1	1	0	0	349	0	1
1179	1	1	1	0	0	349	0	1
1180	1	1	1	0	0	349	0	1
1181	1	1	1	0	0	349	0	1
1182	1	1	1	0	0	349	0	1
1207	1	1	1	0	0	349	0	1
1208	1	1	1	0	0	349	0	1
1209	1	1	1	0	0	349	0	1
1210	1	1	1	0	0	349	0	1
1211	1	1	1	0	0	349	0	1
1212	1	1	1	0	0	349	0	1
1213	1	1	1	0	0	349	0	1
1247	1	1	1	0	2	573	0	1
1248	1	1	1	0	2	573	0	1
1249	1	1	1	0	2	573	0	1
1250	1	1	1	0	2	573	0	1
1251	1	1	1	0	2	573	0	1
1252	1	1	1	0	2	573	0	1
1253	1	1	1	0	2	573	0	1
1254	1	1	1	0	0	349	0	1
1255	1	1	1	0	0	349	0	1
1256	1	1	1	0	0	349	0	1
1367	1	1	1	0	2	573	0	1
1368	1	1	1	0	2	573	0	1
1369	1	1	1	0	2	573	0	1
1370	1	1	1	0	2	573	0	1
1371	1	1	1	0	2	573	0	1
1372	1	1	1	0	2	573	0	1
1373	1	1	1	0	2	573	0	1
1374	1	1	1	0	2	573	0	1
1375	1	1	1	0	2	573	0	1
1376	1	1	1	0	2	573	0	1
1377	1	1	1	0	4	903	0	1
1378	1	1	1	0	4	903	0	1
1379	1	1	1	0	4	903	0	1
1380	1	1	1	0	4	903	0	1
1381	1	1	1	0	4	903	0	1
1382	1	1	1	0	2	573	0	1
1383	1	1	1	0	2	573	0	1
1384	1	1	1	0	2	573	0	1
1385	1	1	1	0	2	573	0	1
1387	1	1	1	0	2	573	0	1
1388	1	1	1	0	2	573	0	1
1389	1	1	1	0	2	573	0	1
1390	1	1	1	0	2	573	0	1
1391	1	1	1	0	2	573	0	1
1392	1	1	1	0	2	573	0	1
1393	1	1	1	0	2	573	0	1
1394	1	1	1	0	2	573	0	1
1395	1	1	1	0	2	573	0	1
1396	1	1	1	0	2	573	0	1
1397	1	1	1	0	2	573	0	1
1398	1	1	1	0	0	349	0	1
1399	1	1	1	0	0	349	0	1
1400	1	1	1	0	0	349	0	1
1401	1	1	1	0	0	349	0	1
1402	1	1	1	0	0	349	0	1
1403	1	1	1	0	0	349	0	1
1567	1	1	1	0	6	1287	0	1
1568	1	1	1	0	6	1287	0	1
1569	1	1	1	0	6	1287	0	1
1570	1	1	1	0	6	1287	0	1
1571	1	1	1	0	6	1287	0	1
1572	1	1	1	0	6	1287	0	1
1573	1	1	1	0	6	1287	0	1
1574	1	1	1	0	8	1764	0	1
1575	1	1	1	0	8	1764	0	1
1576	1	1	1	0	8	1764	0	1
1577	1	1	1	0	8	1764	0	1
1578	1	1	1	0	8	1764	0	1
1579	1	1	1	0	8	1764	0	1
1580	1	1	1	0	8	1764	0	1
1581	1	1	1	0	8	1764	0	1
1586	1	1	1	0	10	1980	0	1
1587	1	1	1	0	10	1980	0	1
1588	1	1	1	0	10	1980	0	1
1589	1	1	1	0	10	1980	0	1
1590	1	1	1	0	10	1980	0	1
1591	1	1	1	0	10	1980	0	1
1592	1	1	1	0	10	1980	0	1
1593	1	1	1	0	10	1980	0	1
1594	1	1	1	0	10	1980	0	1
1595	1	1	1	0	10	1980	0	1
1596	1	1	1	0	10	1980	0	1
1597	1	1	1	0	10	1980	0	1
1598	1	1	1	0	10	1980	0	1
1599	1	1	1	0	10	1980	0	1
1600	1	1	1	0	10	1980	0	1
1601	1	1	1	0	10	1980	0	1
1602	1	1	1	0	10	1980	0	1
1603	1	1	1	0	10	1980	0	1
1604	1	1	1	0	10	1980	0	1
1605	1	1	1	0	10	1980	0	1
1606	1	1	1	0	10	1980	0	1
1607	1	1	1	0	10	1980	0	1
1608	1	1	1	0	8	1764	0	1
1609	1	1	1	0	8	1764	0	1
1610	1	1	1	0	8	1764	0	1
