#app rate  good put   loss
99.5138   16.6574   16.8404
69.3581   16.6574   24.1624
53.2283   16.6574   31.4843
43.1853   16.6574   38.8064
36.3305   16.6574   46.1277
31.3537   16.6574   53.4505
27.5761   16.6574   60.7702
24.611   16.6574   68.0905
22.2215   16.6574   75.412
20.255   16.6574   82.7345
18.6083   16.6574   90.0541
17.2092   16.6574   97.3757
16.0057   15.8217   99.4471
14.9596   14.7874   99.4492
14.0418   13.8804   99.4458
10.2638   10.1464   99.45
8.0877   7.9958   99.4529
6.67294   6.59745   99.4513
4.87328   4.81842   99.4678
3.83815   3.79486   99.4038
3.16572   3.13026   99.4217
2.41013   2.38267   99.4304
1.94572   1.92464   99.4514
1.63137   1.61293   99.3458
1.40447   1.38898   99.3485
