#App rate  Goodput  loss rate(%)

99.5138   16.6574   500
69.3581   16.6574   400
53.2283   16.6574   300
43.1853   16.6574   200
36.3305   16.6574   200
31.3537   16.6574   100
27.5761   16.6574   100
24.611   16.6574   100
22.2215   16.6574   100
20.255   16.6574   100
18.6083   16.6574   100
17.2092   16.6574   100
16.0057   15.8217   100
14.9596   14.7874   100
14.0418   13.8804   100
10.2638   10.1464   100
8.0877   7.9958   100
6.67294   6.59745   100
4.87328   4.81842   100
3.83815   3.79486   100
3.16572   3.13026   100
2.41013   2.38267   100
1.94572   1.92464   100
1.63137   1.61293   100
1.40447   1.38898   100
99.5138   16.6574   0
69.3581   16.6574   0
99.5138   16.6574   0
69.3581   16.6574   0
53.2283   16.6574   0
43.1853   16.6574   0
36.3305   16.6574   0
31.3537   16.6574   0
27.5761   16.6574   0
24.611   16.6574   0
22.2215   16.6574   0
20.255   16.6574   0
18.6083   16.6574   0
17.2092   16.6574   0
16.0057   15.8217   0
14.9596   14.7874   0
14.0418   13.8804   0
10.2638   10.1464   0
8.0877   7.9958   0
6.67294   6.59745   0
4.87328   4.81842   0
3.83815   3.79486   0
3.16572   3.13026   0
2.41013   2.38267   0
1.94572   1.92464   0
1.63137   1.61293   0
1.40447   1.38898   0
