% time	cellId	IMSI	RNTI	sinrLinear
0.041	1	1	1	2493.08
0.081	1	1	1	807.123
0.121	1	1	1	2461.48
0.161	1	1	1	2021.15
0.201	1	1	1	964.232
0.241	1	1	1	3099.48
0.281	1	1	1	2227.44
0.321	1	1	1	1295.38
0.361	1	1	1	1723.6
0.401	1	1	1	531.374
0.441	1	1	1	1850.18
0.481	1	1	1	1941.13
0.521	1	1	1	743.64
0.561	1	1	1	1568.53
0.601	1	1	1	1489.28
0.641	1	1	1	1775.26
0.681	1	1	1	4882.98
0.721	1	1	1	4230.26
0.761	1	1	1	3083.68
0.801	1	1	1	1281.09
0.841	1	1	1	573.806
0.881	1	1	1	754.469
0.921	1	1	1	2562.38
0.961	1	1	1	815.605
1.001	1	1	1	1039.95
1.041	1	1	1	1648.65
1.081	1	1	1	1096.31
1.121	1	1	1	1165.06
1.161	1	1	1	866.677
1.201	1	1	1	2202.53
1.241	1	1	1	883.267
1.281	1	1	1	1609.25
1.321	1	1	1	626.909
1.361	1	1	1	897.585
1.401	1	1	1	1347.51
1.441	1	1	1	734.512
1.481	1	1	1	1273.22
1.521	1	1	1	1252.17
1.561	1	1	1	1903.63
1.601	1	1	1	2684.64
1.641	1	1	1	967.125
1.681	1	1	1	1543.28
1.721	1	1	1	852.692
1.761	1	1	1	702.038
1.801	1	1	1	1251.76
1.841	1	1	1	924.658
1.881	1	1	1	1307.08
1.921	1	1	1	1559.06
1.961	1	1	1	1494.51
2.001	1	1	1	876.874
2.041	1	1	1	3804.96
2.081	1	1	1	1000.74
2.121	1	1	1	1810.89
2.161	1	1	1	498.979
2.201	1	1	1	1723.16
2.241	1	1	1	1653.95
2.281	1	1	1	3024.75
2.321	1	1	1	1134.67
2.361	1	1	1	2294.44
2.401	1	1	1	1715.69
2.441	1	1	1	2060.98
2.481	1	1	1	2702.2
2.521	1	1	1	2592.08
2.561	1	1	1	3501.18
2.601	1	1	1	1302.47
2.641	1	1	1	2345.47
2.681	1	1	1	1020.61
2.721	1	1	1	3120.22
2.761	1	1	1	3313.03
2.801	1	1	1	1564.43
2.841	1	1	1	1142.1
2.881	1	1	1	776.529
2.921	1	1	1	2377.14
2.961	1	1	1	1373.94
3.001	1	1	1	830.86
3.041	1	1	1	1472.3
3.081	1	1	1	6644.57
3.121	1	1	1	3950.56
3.161	1	1	1	1124.27
3.201	1	1	1	1537.69
3.241	1	1	1	952.54
3.281	1	1	1	1805.69
3.321	1	1	1	2125.91
3.361	1	1	1	3151.53
3.401	1	1	1	3050.61
3.441	1	1	1	1509.23
3.481	1	1	1	2625.67
3.521	1	1	1	1151.43
3.561	1	1	1	1570.1
3.601	1	1	1	3089.61
3.641	1	1	1	1561.53
3.681	1	1	1	1599.75
3.721	1	1	1	1477.23
3.761	1	1	1	2074.78
3.801	1	1	1	855.424
3.841	1	1	1	2403.37
3.881	1	1	1	1091.29
3.921	1	1	1	2165.17
3.961	1	1	1	1326.71
4.001	1	1	1	663.942
4.041	1	1	1	3872.33
4.081	1	1	1	1723.21
4.121	1	1	1	4138.74
4.161	1	1	1	1249.93
4.201	1	1	1	1491.43
4.241	1	1	1	1247.36
4.281	1	1	1	1110.62
4.321	1	1	1	1777.52
4.361	1	1	1	1338.44
4.401	1	1	1	641.654
4.441	1	1	1	875.201
4.481	1	1	1	2678.35
4.521	1	1	1	751.794
4.561	1	1	1	1566.36
4.601	1	1	1	1026.8
4.641	1	1	1	1911.51
4.681	1	1	1	1337.87
4.721	1	1	1	1445.31
4.761	1	1	1	2617.32
4.801	1	1	1	1928.32
4.841	1	1	1	1946.07
4.881	1	1	1	1448.97
4.921	1	1	1	710.833
4.961	1	1	1	2014.63
5.001	1	1	1	1191.65
5.041	1	1	1	2387.32
5.081	1	1	1	1517.42
5.121	1	1	1	1597.54
5.161	1	1	1	547.023
5.201	1	1	1	2506.34
5.241	1	1	1	3396.91
5.281	1	1	1	277.097
5.321	1	1	1	400.994
5.361	1	1	1	1442.82
5.401	1	1	1	3004.16
5.441	1	1	1	1013.16
5.481	1	1	1	790.418
5.521	1	1	1	1133.41
5.561	1	1	1	2188.77
5.601	1	1	1	3202.64
5.641	1	1	1	2203.76
5.681	1	1	1	1451.62
5.721	1	1	1	2877.57
5.761	1	1	1	958.142
5.801	1	1	1	1356.74
5.841	1	1	1	2796.37
5.881	1	1	1	2659.7
5.921	1	1	1	1294.04
5.961	1	1	1	842.474
6.001	1	1	1	1210.53
6.041	1	1	1	999.58
6.081	1	1	1	565.636
6.121	1	1	1	963.848
6.161	1	1	1	1849.34
6.201	1	1	1	4460.1
6.241	1	1	1	206.188
6.281	1	1	1	1473.62
6.321	1	1	1	940.848
6.361	1	1	1	3078.8
6.401	1	1	1	1044.62
6.441	1	1	1	2592.32
6.481	1	1	1	1600.41
6.521	1	1	1	3989.38
6.561	1	1	1	1538.66
6.601	1	1	1	609.442
6.641	1	1	1	3845.55
6.681	1	1	1	1779.94
6.721	1	1	1	1997.29
6.761	1	1	1	401.09
6.801	1	1	1	1767.1
6.841	1	1	1	2075.74
6.881	1	1	1	2182.82
6.921	1	1	1	1707.05
6.961	1	1	1	872.638
7.001	1	1	1	2287.2
7.041	1	1	1	2828.74
7.081	1	1	1	2423.68
7.121	1	1	1	2577.38
7.161	1	1	1	939.396
7.201	1	1	1	2152.04
7.241	1	1	1	1743.04
7.281	1	1	1	1001.82
7.321	1	1	1	1581.41
7.361	1	1	1	1134.64
7.401	1	1	1	1715.57
7.441	1	1	1	1658.21
7.481	1	1	1	2885.18
7.521	1	1	1	2005.55
7.561	1	1	1	1107.52
7.601	1	1	1	1311.81
7.641	1	1	1	2092.16
7.681	1	1	1	1342.77
7.721	1	1	1	3119.67
7.761	1	1	1	579.805
7.801	1	1	1	2462.32
7.841	1	1	1	754.787
7.881	1	1	1	1428.76
7.921	1	1	1	1484.26
7.961	1	1	1	610.213
8.001	1	1	1	1854.61
8.041	1	1	1	825.797
8.081	1	1	1	2398.84
8.121	1	1	1	1836.94
8.161	1	1	1	4075.77
8.201	1	1	1	551.691
8.241	1	1	1	1033.68
8.281	1	1	1	2421.05
8.321	1	1	1	2325.36
8.361	1	1	1	2679.33
8.401	1	1	1	988.597
8.441	1	1	1	1781.65
8.481	1	1	1	570.583
8.521	1	1	1	3503.79
8.561	1	1	1	1799.15
8.601	1	1	1	791.853
8.641	1	1	1	1408.3
8.681	1	1	1	783.519
8.721	1	1	1	809.677
8.761	1	1	1	1312.92
8.801	1	1	1	1492.24
8.841	1	1	1	2156.87
8.881	1	1	1	2168.6
8.921	1	1	1	1100.07
8.961	1	1	1	631.554
9.001	1	1	1	1600.59
9.041	1	1	1	1292.96
9.081	1	1	1	637.284
9.121	1	1	1	3106.81
9.161	1	1	1	1555.92
9.201	1	1	1	1035.56
9.241	1	1	1	4466.9
9.281	1	1	1	2000.43
9.321	1	1	1	934.178
9.361	1	1	1	3916.63
9.401	1	1	1	792.651
9.441	1	1	1	856.165
9.481	1	1	1	1714.26
9.521	1	1	1	2081.13
9.561	1	1	1	1024.12
