% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
0.521	1	1	53	2	1	28	9422	0	0
0.576	1	1	58	7	1	28	9422	0	0
0.631	1	1	64	2	1	28	9422	0	0
0.686	1	1	69	7	1	28	9422	0	0
0.741	1	1	75	2	1	28	9422	0	0
0.848	1	1	85	9	1	28	9422	0	0
0.903	1	1	91	4	1	28	9422	0	0
0.958	1	1	96	9	1	28	9422	0	0
1.013	1	1	102	4	1	28	9422	0	0
1.014	1	1	102	5	1	28	9422	0	0
1.068	1	1	107	9	1	28	9422	0	0
1.069	1	1	107	10	1	28	9422	0	0
1.123	1	1	113	4	1	28	9422	0	0
1.124	1	1	113	5	1	28	9422	0	0
1.125	1	1	113	6	1	28	9422	0	0
1.178	1	1	118	9	1	28	9422	0	0
1.179	1	1	118	10	1	28	9422	0	0
1.18	1	1	119	1	1	28	9422	0	0
1.181	1	1	119	2	1	28	9422	0	0
1.182	1	1	119	3	1	28	9422	0	0
1.233	1	1	124	4	1	28	9422	0	0
1.234	1	1	124	5	1	28	9422	0	0
1.235	1	1	124	6	1	24	6882	0	0
1.236	1	1	124	7	1	24	6882	0	0
1.237	1	1	124	8	1	28	9422	0	0
1.238	1	1	124	9	1	28	9422	0	0
1.239	1	1	124	10	1	28	9422	0	0
1.288	1	1	129	9	1	28	9422	0	0
1.289	1	1	129	10	1	28	9422	0	0
1.29	1	1	130	1	1	28	9422	0	0
1.291	1	1	130	2	1	28	9422	0	0
1.292	1	1	130	3	1	28	9422	0	0
1.293	1	1	130	4	1	28	9422	0	0
1.294	1	1	130	5	1	28	9422	0	0
1.295	1	1	130	6	1	28	9422	0	0
1.343	1	1	135	4	1	28	9422	0	0
1.344	1	1	135	5	1	28	9422	0	0
1.345	1	1	135	6	1	28	9422	0	0
1.346	1	1	135	7	1	28	9422	0	0
1.347	1	1	135	8	1	28	9422	0	0
1.348	1	1	135	9	1	28	9422	0	0
1.349	1	1	135	10	1	28	9422	0	0
1.399	1	1	140	10	1	28	9422	0	0
1.454	1	1	146	5	1	14	3182	0	0
1.509	1	1	151	10	1	28	9422	0	0
1.568	1	1	157	9	1	28	9422	0	0
1.623	1	1	163	4	1	28	9422	0	0
