% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
0.529	1	1	53	10	1	16	3822
0.584	1	1	59	5	1	8	1764
0.639	1	1	64	10	1	18	4107
0.694	1	1	70	5	1	24	6882
0.801	1	1	81	2	1	20	4904
0.856	1	1	86	7	1	0	349
0.911	1	1	92	2	1	12	2481
0.966	1	1	97	7	1	28	9422
1.021	1	1	103	2	1	14	3182
1.022	1	1	103	3	1	14	3182
1.076	1	1	108	7	1	20	4904
1.077	1	1	108	8	1	20	4904
1.131	1	1	114	2	1	14	3182
1.132	1	1	114	3	1	14	3182
1.133	1	1	114	4	1	14	3182
1.186	1	1	119	7	1	14	3182
1.187	1	1	119	8	1	14	3182
1.188	1	1	119	9	1	14	3182
1.189	1	1	119	10	1	14	3182
1.19	1	1	120	1	1	14	3182
1.241	1	1	125	2	1	10	1980
1.242	1	1	125	3	1	10	1980
1.243	1	1	125	4	1	10	1980
1.244	1	1	125	5	1	10	1980
1.245	1	1	125	6	1	10	1980
1.246	1	1	125	7	1	10	1980
1.247	1	1	125	8	1	10	1980
1.248	1	1	125	9	1	14	3182
1.296	1	1	130	7	1	2	573
1.297	1	1	130	8	1	2	573
1.298	1	1	130	9	1	2	573
1.299	1	1	130	10	1	2	573
1.3	1	1	131	1	1	2	573
1.301	1	1	131	2	1	2	573
1.302	1	1	131	3	1	2	573
1.303	1	1	131	4	1	16	3822
1.351	1	1	136	2	1	18	4107
1.352	1	1	136	3	1	18	4107
1.353	1	1	136	4	1	18	4107
1.354	1	1	136	5	1	18	4107
1.355	1	1	136	6	1	18	4107
1.356	1	1	136	7	1	18	4107
1.357	1	1	136	8	1	18	4107
1.358	1	1	136	9	1	10	1980
1.407	1	1	141	8	1	4	903
1.462	1	1	147	3	1	20	4904
1.521	1	1	153	2	1	4	903
1.576	1	1	158	7	1	22	5861
1.631	1	1	164	2	1	10	1980
1.686	1	1	169	7	1	16	3822
1.741	1	1	175	2	1	18	4107
1.796	1	1	180	7	1	6	1287
1.851	1	1	186	2	1	18	4107
1.906	1	1	191	7	1	12	2481
2.001	1	1	201	2	1	4	903
2.002	1	1	201	3	1	4	903
2.056	1	1	206	7	1	14	3182
2.057	1	1	206	8	1	14	3182
2.058	1	1	206	9	1	14	3182
2.059	1	1	206	10	1	14	3182
2.06	1	1	207	1	1	14	3182
2.111	1	1	212	2	1	18	4107
2.112	1	1	212	3	1	18	4107
2.113	1	1	212	4	1	18	4107
2.114	1	1	212	5	1	18	4107
2.115	1	1	212	6	1	18	4107
2.166	1	1	217	7	1	20	4904
2.167	1	1	217	8	1	20	4904
2.168	1	1	217	9	1	20	4904
2.169	1	1	217	10	1	20	4904
2.221	1	1	223	2	1	4	903
2.222	1	1	223	3	1	4	903
2.223	1	1	223	4	1	4	903
2.224	1	1	223	5	1	4	903
2.225	1	1	223	6	1	4	903
2.226	1	1	223	7	1	4	903
2.276	1	1	228	7	1	10	1980
2.277	1	1	228	8	1	10	1980
2.278	1	1	228	9	1	10	1980
2.279	1	1	228	10	1	10	1980
2.28	1	1	229	1	1	10	1980
2.331	1	1	234	2	1	14	3182
2.332	1	1	234	3	1	14	3182
2.333	1	1	234	4	1	14	3182
2.334	1	1	234	5	1	14	3182
2.335	1	1	234	6	1	14	3182
2.386	1	1	239	7	1	18	4107
2.387	1	1	239	8	1	18	4107
2.388	1	1	239	9	1	18	4107
2.389	1	1	239	10	1	18	4107
2.39	1	1	240	1	1	18	4107
2.441	1	1	245	2	1	14	3182
2.442	1	1	245	3	1	14	3182
2.443	1	1	245	4	1	14	3182
2.444	1	1	245	5	1	14	3182
2.445	1	1	245	6	1	14	3182
2.496	1	1	250	7	1	22	5861
2.497	1	1	250	8	1	22	5861
2.498	1	1	250	9	1	22	5861
2.499	1	1	250	10	1	22	5861
2.5	1	1	251	1	1	22	5861
2.501	1	1	251	2	1	22	5861
2.551	1	1	256	2	1	6	1287
2.552	1	1	256	3	1	6	1287
2.553	1	1	256	4	1	6	1287
2.554	1	1	256	5	1	6	1287
2.555	1	1	256	6	1	6	1287
2.556	1	1	256	7	1	6	1287
2.606	1	1	261	7	1	12	2481
2.607	1	1	261	8	1	12	2481
2.608	1	1	261	9	1	12	2481
2.609	1	1	261	10	1	12	2481
2.61	1	1	262	1	1	12	2481
2.681	1	1	269	2	1	4	903
2.682	1	1	269	3	1	4	903
2.736	1	1	274	7	1	4	903
2.737	1	1	274	8	1	4	903
2.738	1	1	274	9	1	4	903
2.739	1	1	274	10	1	4	903
2.74	1	1	275	1	1	4	903
2.741	1	1	275	2	1	4	903
2.791	1	1	280	2	1	8	1764
2.792	1	1	280	3	1	8	1764
2.793	1	1	280	4	1	8	1764
2.794	1	1	280	5	1	8	1764
2.795	1	1	280	6	1	8	1764
2.846	1	1	285	7	1	6	1287
2.847	1	1	285	8	1	6	1287
2.848	1	1	285	9	1	6	1287
2.849	1	1	285	10	1	6	1287
2.85	1	1	286	1	1	6	1287
2.851	1	1	286	2	1	6	1287
2.901	1	1	291	2	1	12	2481
2.902	1	1	291	3	1	12	2481
2.903	1	1	291	4	1	12	2481
2.904	1	1	291	5	1	12	2481
2.905	1	1	291	6	1	12	2481
2.956	1	1	296	7	1	14	3182
2.957	1	1	296	8	1	14	3182
2.958	1	1	296	9	1	14	3182
2.959	1	1	296	10	1	14	3182
2.96	1	1	297	1	1	14	3182
3.011	1	1	302	2	1	18	4107
3.012	1	1	302	3	1	18	4107
3.013	1	1	302	4	1	18	4107
3.014	1	1	302	5	1	18	4107
3.015	1	1	302	6	1	18	4107
3.066	1	1	307	7	1	14	3182
3.067	1	1	307	8	1	14	3182
3.068	1	1	307	9	1	14	3182
3.069	1	1	307	10	1	14	3182
3.07	1	1	308	1	1	14	3182
3.121	1	1	313	2	1	18	4107
3.122	1	1	313	3	1	18	4107
3.123	1	1	313	4	1	18	4107
3.124	1	1	313	5	1	18	4107
3.125	1	1	313	6	1	18	4107
3.176	1	1	318	7	1	26	7708
3.177	1	1	318	8	1	26	7708
3.178	1	1	318	9	1	26	7708
3.179	1	1	318	10	1	26	7708
3.18	1	1	319	1	1	26	7708
3.241	1	1	325	2	1	4	903
3.242	1	1	325	3	1	4	903
3.361	1	1	337	2	1	2	573
3.362	1	1	337	3	1	2	573
3.363	1	1	337	4	1	2	573
3.416	1	1	342	7	1	14	3182
3.417	1	1	342	8	1	14	3182
3.418	1	1	342	9	1	14	3182
3.419	1	1	342	10	1	14	3182
3.42	1	1	343	1	1	14	3182
3.421	1	1	343	2	1	14	3182
3.471	1	1	348	2	1	18	4107
3.472	1	1	348	3	1	18	4107
3.473	1	1	348	4	1	18	4107
3.474	1	1	348	5	1	18	4107
3.475	1	1	348	6	1	18	4107
3.526	1	1	353	7	1	12	2481
3.527	1	1	353	8	1	12	2481
