% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct
535	1	1	1	0	0	16	3822	0	1	1
590	1	1	1	0	0	8	1764	0	1	1
645	1	1	1	0	0	18	4107	0	1	1
700	1	1	1	0	0	24	6882	0	1	1
807	1	1	1	0	0	20	4904	0	1	1
862	1	1	1	0	0	0	349	0	1	1
917	1	1	1	0	0	12	2481	0	1	1
972	1	1	1	0	0	28	9422	0	1	1
1027	1	1	1	0	0	14	3182	0	1	1
1082	1	1	1	0	0	20	4904	0	1	1
1137	1	1	1	0	0	14	3182	0	1	1
1192	1	1	1	0	0	14	3182	0	1	1
1247	1	1	1	0	0	10	1980	0	1	1
1248	1	1	1	0	0	10	1980	0	1	1
1302	1	1	1	0	0	2	573	0	1	1
1303	1	1	1	0	0	2	573	0	1	1
1304	1	1	1	0	0	2	573	0	1	1
1305	1	1	1	0	0	2	573	0	1	1
1306	1	1	1	0	0	2	573	0	1	1
1357	1	1	1	0	0	18	4107	0	1	1
1358	1	1	1	0	0	18	4107	0	1	1
1413	1	1	1	0	0	4	903	0	1	1
1468	1	1	1	0	0	20	4904	0	1	1
1527	1	1	1	0	0	4	903	0	1	1
1582	1	1	1	0	0	22	5861	0	1	1
1637	1	1	1	0	0	10	1980	0	1	1
1692	1	1	1	0	0	16	3822	0	1	1
1747	1	1	1	0	0	18	4107	0	1	1
1802	1	1	1	0	0	6	1287	0	1	1
1857	1	1	1	0	0	18	4107	0	1	1
1912	1	1	1	0	0	12	2481	0	1	1
2007	1	1	1	0	0	4	903	0	1	1
2008	1	1	1	0	0	4	903	0	1	1
2062	1	1	1	0	0	14	3182	0	1	1
2117	1	1	1	0	0	18	4107	0	1	1
2172	1	1	1	0	0	20	4904	0	1	1
2227	1	1	1	0	0	4	903	0	1	1
2228	1	1	1	0	0	4	903	0	1	1
2282	1	1	1	0	0	10	1980	0	1	1
2337	1	1	1	0	0	14	3182	0	1	1
2392	1	1	1	0	0	18	4107	0	1	1
2447	1	1	1	0	0	14	3182	0	1	1
2502	1	1	1	0	0	22	5861	0	1	1
2557	1	1	1	0	0	6	1287	0	1	1
2558	1	1	1	0	0	6	1287	0	1	1
2612	1	1	1	0	0	12	2481	0	1	1
2687	1	1	1	0	0	4	903	0	1	1
2688	1	1	1	0	0	4	903	0	1	1
2742	1	1	1	0	0	4	903	0	1	1
2743	1	1	1	0	0	4	903	0	1	1
2797	1	1	1	0	0	8	1764	0	1	1
2852	1	1	1	0	0	6	1287	0	1	1
2853	1	1	1	0	0	6	1287	0	1	1
2907	1	1	1	0	0	12	2481	0	1	1
2962	1	1	1	0	0	14	3182	0	1	1
3017	1	1	1	0	0	18	4107	0	1	1
3072	1	1	1	0	0	14	3182	0	1	1
3127	1	1	1	0	0	18	4107	0	1	1
3182	1	1	1	0	0	26	7708	0	1	1
3247	1	1	1	0	0	4	903	0	1	1
3248	1	1	1	0	0	4	903	0	1	1
