% time	cellId	IMSI	RNTI	sinrLinear
0.041	1	1	1	614.544
0.081	1	1	1	228.031
0.121	1	1	1	201.006
0.161	1	1	1	313.797
0.201	1	1	1	298.823
0.241	1	1	1	185.54
0.281	1	1	1	50.0486
0.321	1	1	1	363.971
0.361	1	1	1	486.571
0.401	1	1	1	267.657
0.441	1	1	1	161.773
0.481	1	1	1	147.708
0.521	1	1	1	507.096
0.561	1	1	1	1126.89
0.601	1	1	1	889.72
0.641	1	1	1	437.991
0.681	1	1	1	954.969
0.721	1	1	1	523.073
0.761	1	1	1	216.879
0.801	1	1	1	633.022
0.841	1	1	1	501.267
0.881	1	1	1	189.101
0.921	1	1	1	496.855
0.961	1	1	1	983.076
1.001	1	1	1	596.106
1.041	1	1	1	697.371
1.081	1	1	1	766.729
1.121	1	1	1	866.65
1.161	1	1	1	341.986
1.201	1	1	1	425.182
1.241	1	1	1	1039.89
1.281	1	1	1	557.093
1.321	1	1	1	536.342
1.361	1	1	1	1094.45
1.401	1	1	1	607.695
1.441	1	1	1	466.274
1.481	1	1	1	384.668
1.521	1	1	1	206.522
1.561	1	1	1	880.004
1.601	1	1	1	845.287
1.641	1	1	1	577.394
1.681	1	1	1	1229.06
1.721	1	1	1	670.931
1.761	1	1	1	551.33
1.801	1	1	1	958.392
1.841	1	1	1	350.439
1.881	1	1	1	306.859
1.921	1	1	1	673.033
1.961	1	1	1	392.915
2.001	1	1	1	137
2.041	1	1	1	352.966
2.081	1	1	1	689.948
2.121	1	1	1	685.786
2.161	1	1	1	860.872
2.201	1	1	1	703.616
2.241	1	1	1	218.449
2.281	1	1	1	735.224
2.321	1	1	1	958.706
2.361	1	1	1	374.485
2.401	1	1	1	833.048
2.441	1	1	1	987.913
2.481	1	1	1	443.568
2.521	1	1	1	95.2341
2.561	1	1	1	203.047
2.601	1	1	1	206.097
2.641	1	1	1	131.766
2.681	1	1	1	230.213
2.721	1	1	1	554.749
2.761	1	1	1	184.957
2.801	1	1	1	164.831
2.841	1	1	1	576.208
2.881	1	1	1	345.314
2.921	1	1	1	452.645
2.961	1	1	1	324.228
3.001	1	1	1	451.407
3.041	1	1	1	386.091
3.081	1	1	1	407.643
3.121	1	1	1	594.591
3.161	1	1	1	492.301
3.201	1	1	1	255.449
3.241	1	1	1	362.645
3.281	1	1	1	167.911
3.321	1	1	1	78.3607
3.361	1	1	1	252.67
3.401	1	1	1	172.468
3.441	1	1	1	295.529
3.481	1	1	1	324.575
3.521	1	1	1	964.347
3.561	1	1	1	528.344
3.601	1	1	1	172.427
3.641	1	1	1	443.3
3.681	1	1	1	454.941
3.721	1	1	1	308.307
3.761	1	1	1	507.543
3.801	1	1	1	358.847
3.841	1	1	1	315.426
3.881	1	1	1	302.184
3.921	1	1	1	136.499
3.961	1	1	1	361.71
4.001	1	1	1	206.792
4.041	1	1	1	335.689
4.081	1	1	1	541.066
4.121	1	1	1	226.04
4.161	1	1	1	103.233
4.201	1	1	1	208.404
4.241	1	1	1	202.091
4.281	1	1	1	124.276
4.321	1	1	1	266.632
4.361	1	1	1	553.553
4.401	1	1	1	136.899
4.441	1	1	1	217.401
4.481	1	1	1	573.155
4.521	1	1	1	682.088
4.561	1	1	1	192.874
4.601	1	1	1	358.372
4.641	1	1	1	506.187
4.681	1	1	1	301.676
4.721	1	1	1	470.016
4.761	1	1	1	421.731
4.801	1	1	1	290.926
4.841	1	1	1	342.103
4.881	1	1	1	147.149
4.921	1	1	1	283.957
4.961	1	1	1	548.062
5.001	1	1	1	700.056
5.041	1	1	1	628.095
5.081	1	1	1	446.298
5.121	1	1	1	1260.99
5.161	1	1	1	871.393
5.201	1	1	1	569.853
5.241	1	1	1	769.96
5.281	1	1	1	489.805
5.321	1	1	1	704.037
5.361	1	1	1	647.598
5.401	1	1	1	815.03
5.441	1	1	1	1191.22
5.481	1	1	1	843.928
5.521	1	1	1	574.88
5.561	1	1	1	266.388
5.601	1	1	1	610.832
5.641	1	1	1	810.42
5.681	1	1	1	600.326
5.721	1	1	1	523.363
5.761	1	1	1	410.158
5.801	1	1	1	272.617
5.841	1	1	1	196.03
5.881	1	1	1	154.573
5.921	1	1	1	491.49
5.961	1	1	1	707.967
6.001	1	1	1	379.723
6.041	1	1	1	437.916
6.081	1	1	1	355.01
6.121	1	1	1	379.293
