% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi
535	1	1	1	0	16	3822	0	1
590	1	1	1	0	8	1764	0	1
645	1	1	1	0	18	4107	0	1
700	1	1	1	0	24	6882	0	1
807	1	1	1	0	20	4904	0	1
862	1	1	1	0	0	349	0	1
917	1	1	1	0	12	2481	0	1
972	1	1	1	0	28	9422	0	1
1027	1	1	1	0	14	3182	0	1
1028	1	1	1	0	14	3182	0	1
1082	1	1	1	0	20	4904	0	1
1083	1	1	1	0	20	4904	0	1
1137	1	1	1	0	14	3182	0	1
1138	1	1	1	0	14	3182	0	1
1139	1	1	1	0	14	3182	0	1
1192	1	1	1	0	14	3182	0	1
1193	1	1	1	0	14	3182	0	1
1194	1	1	1	0	14	3182	0	1
1195	1	1	1	0	14	3182	0	1
1196	1	1	1	0	14	3182	0	1
1247	1	1	1	0	10	1980	0	1
1248	1	1	1	0	10	1980	0	1
1249	1	1	1	0	10	1980	0	1
1250	1	1	1	0	10	1980	0	1
1251	1	1	1	0	10	1980	0	1
1252	1	1	1	0	10	1980	0	1
1253	1	1	1	0	10	1980	0	1
1254	1	1	1	0	14	3182	0	1
1302	1	1	1	0	2	573	0	1
1303	1	1	1	0	2	573	0	1
1304	1	1	1	0	2	573	0	1
1305	1	1	1	0	2	573	0	1
1306	1	1	1	0	2	573	0	1
1307	1	1	1	0	2	573	0	1
1308	1	1	1	0	2	573	0	1
1309	1	1	1	0	16	3822	0	1
1357	1	1	1	0	18	4107	0	1
1358	1	1	1	0	18	4107	0	1
1359	1	1	1	0	18	4107	0	1
1360	1	1	1	0	18	4107	0	1
1361	1	1	1	0	18	4107	0	1
1362	1	1	1	0	18	4107	0	1
1363	1	1	1	0	18	4107	0	1
1364	1	1	1	0	10	1980	0	1
1413	1	1	1	0	4	903	0	1
1468	1	1	1	0	20	4904	0	1
1527	1	1	1	0	4	903	0	1
1582	1	1	1	0	22	5861	0	1
1637	1	1	1	0	10	1980	0	1
1692	1	1	1	0	16	3822	0	1
1747	1	1	1	0	18	4107	0	1
1802	1	1	1	0	6	1287	0	1
1857	1	1	1	0	18	4107	0	1
1912	1	1	1	0	12	2481	0	1
2007	1	1	1	0	4	903	0	1
2008	1	1	1	0	4	903	0	1
2062	1	1	1	0	14	3182	0	1
2063	1	1	1	0	14	3182	0	1
2064	1	1	1	0	14	3182	0	1
2065	1	1	1	0	14	3182	0	1
2066	1	1	1	0	14	3182	0	1
2117	1	1	1	0	18	4107	0	1
2118	1	1	1	0	18	4107	0	1
2119	1	1	1	0	18	4107	0	1
2120	1	1	1	0	18	4107	0	1
2121	1	1	1	0	18	4107	0	1
2172	1	1	1	0	20	4904	0	1
2173	1	1	1	0	20	4904	0	1
2174	1	1	1	0	20	4904	0	1
2175	1	1	1	0	20	4904	0	1
2227	1	1	1	0	4	903	0	1
2228	1	1	1	0	4	903	0	1
2229	1	1	1	0	4	903	0	1
2230	1	1	1	0	4	903	0	1
2231	1	1	1	0	4	903	0	1
2232	1	1	1	0	4	903	0	1
2282	1	1	1	0	10	1980	0	1
2283	1	1	1	0	10	1980	0	1
2284	1	1	1	0	10	1980	0	1
2285	1	1	1	0	10	1980	0	1
2286	1	1	1	0	10	1980	0	1
2337	1	1	1	0	14	3182	0	1
2338	1	1	1	0	14	3182	0	1
2339	1	1	1	0	14	3182	0	1
2340	1	1	1	0	14	3182	0	1
2341	1	1	1	0	14	3182	0	1
2392	1	1	1	0	18	4107	0	1
2393	1	1	1	0	18	4107	0	1
2394	1	1	1	0	18	4107	0	1
2395	1	1	1	0	18	4107	0	1
2396	1	1	1	0	18	4107	0	1
2447	1	1	1	0	14	3182	0	1
2448	1	1	1	0	14	3182	0	1
