% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
0.529	1	1	53	10	1	14	807
0.584	1	1	59	5	1	22	1431
0.639	1	1	64	10	1	26	1908
0.694	1	1	70	5	1	16	967
0.749	1	1	75	10	1	28	2292
0.804	1	1	81	5	1	22	1431
0.805	1	1	81	6	1	22	1431
0.859	1	1	86	10	1	12	621
0.86	1	1	87	1	1	12	621
0.861	1	1	87	2	1	12	621
0.914	1	1	92	5	1	20	1239
0.915	1	1	92	6	1	20	1239
0.916	1	1	92	7	1	20	1239
0.969	1	1	97	10	1	16	967
0.97	1	1	98	1	1	16	967
0.971	1	1	98	2	1	16	967
0.972	1	1	98	3	1	16	967
0.973	1	1	98	4	1	16	967
1.024	1	1	103	5	1	22	1431
1.025	1	1	103	6	1	22	1431
1.026	1	1	103	7	1	22	1431
1.027	1	1	103	8	1	22	1431
1.028	1	1	103	9	1	22	1431
1.029	1	1	103	10	1	22	1431
1.03	1	1	104	1	1	22	1431
1.031	1	1	104	2	1	20	1239
1.079	1	1	108	10	1	28	2292
1.08	1	1	109	1	1	28	2292
1.081	1	1	109	2	1	12	621
1.082	1	1	109	3	1	12	621
1.083	1	1	109	4	1	12	621
1.084	1	1	109	5	1	12	621
1.085	1	1	109	6	1	12	621
1.086	1	1	109	7	1	22	1431
1.087	1	1	109	8	1	16	967
1.088	1	1	109	9	1	20	1239
1.089	1	1	109	10	1	22	1431
1.09	1	1	110	1	1	18	999
1.134	1	1	114	5	1	16	967
1.135	1	1	114	6	1	16	967
1.136	1	1	114	7	1	16	967
1.137	1	1	114	8	1	16	967
1.138	1	1	114	9	1	16	967
1.139	1	1	114	10	1	16	967
1.14	1	1	115	1	1	16	967
1.141	1	1	115	2	1	18	999
1.142	1	1	115	3	1	28	2292
1.143	1	1	115	4	1	28	2292
1.144	1	1	115	5	1	28	2292
1.145	1	1	115	6	1	28	2292
1.146	1	1	115	7	1	12	621
1.147	1	1	115	8	1	8	437
1.148	1	1	115	9	1	24	1692
1.149	1	1	115	10	1	28	2292
1.15	1	1	116	1	1	26	1908
1.189	1	1	119	10	1	22	1431
1.19	1	1	120	1	1	22	1431
1.191	1	1	120	2	1	22	1431
1.192	1	1	120	3	1	22	1431
1.193	1	1	120	4	1	22	1431
1.194	1	1	120	5	1	22	1431
1.195	1	1	120	6	1	22	1431
1.196	1	1	120	7	1	22	1431
1.197	1	1	120	8	1	20	1239
1.198	1	1	120	9	1	28	2292
1.199	1	1	120	10	1	26	1908
1.2	1	1	121	1	1	26	1908
1.201	1	1	121	2	1	18	999
1.202	1	1	121	3	1	18	999
1.203	1	1	121	4	1	16	967
1.204	1	1	121	5	1	14	807
1.205	1	1	121	6	1	12	621
1.206	1	1	121	7	1	10	501
1.207	1	1	121	8	1	22	1431
1.208	1	1	121	9	1	28	2292
1.209	1	1	121	10	1	26	1908
1.21	1	1	122	1	1	24	1692
1.211	1	1	122	2	1	18	999
1.212	1	1	122	3	1	20	1239
1.213	1	1	122	4	1	20	1239
1.244	1	1	125	5	1	20	1239
1.245	1	1	125	6	1	20	1239
1.246	1	1	125	7	1	20	1239
1.247	1	1	125	8	1	20	1239
1.248	1	1	125	9	1	20	1239
1.249	1	1	125	10	1	20	1239
1.25	1	1	126	1	1	20	1239
