% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct
535	1	1	1	0	0	14	807	0	1	1
590	1	1	1	0	0	22	1431	0	1	1
645	1	1	1	0	0	26	1908	0	1	1
700	1	1	1	0	0	16	967	0	1	1
755	1	1	1	0	0	28	2292	0	1	1
810	1	1	1	0	0	22	1431	0	1	1
865	1	1	1	0	0	12	621	0	1	1
920	1	1	1	0	0	20	1239	0	1	1
975	1	1	1	0	0	16	967	0	1	1
1030	1	1	1	0	0	22	1431	0	1	1
1085	1	1	1	0	0	28	2292	0	1	1
1086	1	1	1	0	0	28	2292	0	1	1
1087	1	1	1	0	0	12	621	0	1	1
1088	1	1	1	0	0	12	621	0	1	1
1089	1	1	1	0	0	12	621	0	1	1
1140	1	1	1	0	0	16	967	0	1	1
1141	1	1	1	0	0	16	967	0	1	1
1142	1	1	1	0	0	16	967	0	1	1
1143	1	1	1	0	0	16	967	0	1	1
1144	1	1	1	0	0	16	967	0	1	1
1145	1	1	1	0	0	16	967	0	1	1
1146	1	1	1	0	0	16	967	0	1	1
1147	1	1	1	0	0	18	999	0	1	1
1148	1	1	1	0	0	28	2292	0	1	1
1149	1	1	1	0	0	28	2292	0	1	1
1195	1	1	1	0	0	22	1431	0	1	1
1196	1	1	1	0	0	22	1431	0	1	1
1197	1	1	1	0	0	22	1431	0	1	1
1198	1	1	1	0	0	22	1431	0	1	1
1199	1	1	1	0	0	22	1431	0	1	1
1200	1	1	1	0	0	22	1431	0	1	1
1201	1	1	1	0	0	22	1431	0	1	1
1202	1	1	1	0	0	22	1431	0	1	1
1203	1	1	1	0	0	20	1239	0	1	1
1204	1	1	1	0	0	28	2292	0	1	1
1205	1	1	1	0	0	26	1908	0	1	1
1206	1	1	1	0	0	26	1908	0	1	1
1207	1	1	1	0	0	18	999	0	1	1
1208	1	1	1	0	0	18	999	0	1	1
1209	1	1	1	0	0	16	967	0	1	1
1210	1	1	1	0	0	14	807	0	1	1
1211	1	1	1	0	0	12	621	0	1	1
1212	1	1	1	0	0	10	501	0	1	1
1250	1	1	1	0	0	20	1239	0	1	1
1251	1	1	1	0	0	20	1239	0	1	1
1252	1	1	1	0	0	20	1239	0	1	1
1253	1	1	1	0	0	20	1239	0	1	1
1254	1	1	1	0	0	20	1239	0	1	1
